"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","te_class","status","neglog10p"
"LINE:CR1:CR1_Mam",3444.48058992376,0.0734556202467816,0.0670875910320228,1.09492111904449,0.273551195867103,0.632391756143806,"LINE","NS",0.562961382303626
"LINE:CR1:CR1-1_Amn",0,NA,NA,NA,NA,NA,"LINE","NS",NA
"LINE:CR1:CR1-11_Crp",17.3118596439875,-0.0487702501048377,0.149845507149797,-0.325470219511374,0.744825218121317,0.90999002943874,"LINE","NS",0.127945627534873
"LINE:CR1:CR1-12_AMi",100.582685607715,0.120337768469823,0.140316000976974,0.857619712876297,0.391102486275351,0.725537860914466,"LINE","NS",0.407709423188158
"LINE:CR1:CR1-13_AMi",25.0341861987134,0.0759698002654763,0.150587863187315,0.50448820148924,0.613918351138997,0.854283668270678,"LINE","NS",0.211889384571672
"LINE:CR1:CR1-16_AMi",231.934364493933,-0.0923742461758058,0.109201061437368,-0.845909782926301,0.397603074582949,0.729357780773597,"LINE","NS",0.40055026595167
"LINE:CR1:CR1-3_Croc",1946.91553865385,0.118917407572876,0.0655342045270887,1.81458535174135,0.0695876552689544,0.373155526981138,"LINE","NS",1.15746779665501
"LINE:CR1:CR1-8_Crp",8.2662208100198,0.0532762075746189,0.139385437515224,0.382222192822691,0.702296561806645,0.893720294926403,"LINE","NS",0.153479457729316
"LINE:CR1:CR1-L3A_Croc",408.305278141611,0.0302822689495958,0.104507546330268,0.289761553236518,0.771998662630468,0.921416637438613,"LINE","NS",0.112383452012335
"LINE:CR1:CR1-L3B_Croc",3.21857801391074,0.259794644205457,0.201728414684756,1.2878435822313,0.197800417808507,0.561909722123141,"LINE","NS",0.703772795389308
"LINE:CR1:L3",97170.9043135239,0.0890956078003118,0.0496740510868635,1.79360462557227,0.0728762977235523,0.380546093865544,"LINE","NS",1.13741369859094
"LINE:CR1:L3b",15738.0319121416,0.0400136873450971,0.0549444574716036,0.728257028759942,0.466456261711809,0.772012506477086,"LINE","NS",0.33118907257718
"LINE:CR1:Plat_L3",6364.50597127527,0.0835944625632503,0.0547367169109965,1.52721002063711,0.126708795338537,0.472664479851075,"LINE","NS",0.897193238041438
"LINE:CR1:X1_LINE",24.4176733610195,0.16298807643132,0.152389989371997,1.0695458218942,0.284823792977692,0.643741198393993,"LINE","NS",0.545423734391525
"LINE:CR1:X17_LINE",0,NA,NA,NA,NA,NA,"LINE","NS",NA
"LINE:CR1:X2_LINE",440.908837373288,0.28236911977095,0.161732411949569,1.74590310233547,0.0808277907222134,0.396425548851286,"LINE","NS",1.0924392916736
"LINE:CR1:X21_LINE",0,NA,NA,NA,NA,NA,"LINE","NS",NA
"LINE:CR1:X5B_LINE",72.2701689807104,0.110043773489604,0.104026841266541,1.05784018960689,0.290128306735779,0.649112937062776,"LINE","NS",0.537409896638851
"LINE:CR1:X6A_LINE",2601.36829431397,0.147538609418234,0.0637544728201827,2.31416876168612,0.0206584667788081,0.214645867584035,"LINE","NS",1.68490191390121
"LINE:CR1:X6B_LINE",3170.88274416672,0.00622385597618264,0.0542938057246622,0.114632892152475,0.908736107388199,0.970771926072224,"LINE","NS",0.0415622155065111
"LINE:CR1:X7A_LINE",1133.44142014779,0.068664744377882,0.0880459088768496,0.779874332081957,0.435464848197393,0.752159060433724,"LINE","NS",0.361046896569174
"LINE:CR1:X7B_LINE",1580.03720802896,0.103238981990472,0.0752728433538299,1.37153025434662,0.170209718934414,0.529146492130496,"LINE","NS",0.769015645431936
"LINE:CR1:X7C_LINE",680.532368550677,0.0724588876467291,0.0781905566672144,0.926696147657833,0.354084318255788,0.699464527960767,"LINE","NS",0.450893306921041
"LINE:CR1:X7D_LINE",14.7274846150104,0.14513658524322,0.166923805582842,0.869478051596364,0.384585707956048,0.720726710808195,"LINE","NS",0.415006859128101
"LINE:CR1:X8_LINE",351.077879544668,0.245283719059889,0.110592592623868,2.21790368812595,0.0265613999946541,0.242427585243854,"LINE","NS",1.57574903796632
"LINE:Dong-R4:Mam_R4",474.28061228765,0.0775667178568033,0.06091051818528,1.27345358679855,0.202857132362019,0.567947562891621,"LINE","NS",0.692809718100089
"LINE:I-Jockey:X12_LINE",0,NA,NA,NA,NA,NA,"LINE","NS",NA
"LINE:L1-Tx1:MARE6",0,NA,NA,NA,NA,NA,"LINE","NS",NA
"LINE:L1:HAL1",52563.8586302169,0.0839590150097815,0.0697260608878722,1.20412674888945,0.228540592658925,0.592333635223094,"LINE","NS",0.641036650727322
"LINE:L1:HAL1b",6396.3667058732,0.116979124291585,0.0722710993121391,1.61861553795316,0.105530009839781,0.439459769190817,"LINE","NS",0.976624021366148
