"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"BA2409R",0.0107358801225201,0.0071923891899094,0,0.0216685054951208,0,0.0892046053547094,0,0,0.0052039727519953,0,0.0670183067810368,0,0.696009384309407,0.000791517592622325,6.13235743778047e-05,0.0279031642924907,0,0,0.0198073991165578,0,0.0274649829763431,0.0269385684429092,0,0.46657363295936,0.903810359044292
"BA3037R",0.137457722491592,0,0.0416000893350074,0.0693527092631491,0,0.145175030671071,0,0,0.0204123964097987,0,0.0785836190169399,0,0.116566301597696,0,0,0.0198372289158071,0,0.0203924096563412,0.0443938644602704,0.0427619390934793,0.263466689088847,0,0.016,0.204295772746804,1.00337540045902
"BA2496R",0.0109799700255623,0,0.00630700277345211,0.023859459494684,0.00136044371781414,0.000387290796102408,0,0,0,0,0.0905613742641301,0,0.462902640582056,0.0490214787445931,0,0.0179435188567219,0,0,0.0379491938225028,0,0.066394306641839,0.232333320280542,0.038,0.164307224115743,1.10851583871387
"BA2865R",0.0315481828647019,0.0101427518664051,0.0106889026682052,0.0190227496139375,0,0.214017094115771,0,0,0.0125174564975131,0,0.0870299736675555,0,0.0500223393767074,0,0.00706461213188336,0.0122918559914129,0,0,0.292027211542346,0.0895113688882952,0.161165047732744,0.00295045304252196,0.029,0.181703494405999,1.03813355010108
"BA2286R",0.0392111176777611,0,0.106764413849085,0.167276954337996,0,0.152727708607889,0.00257046313349018,0,0.0040484541995468,0,0.120259308867028,0,0.311064249742727,0,0,0.00585999591825984,0,0,0.0283384125755672,0.0217071817305962,0.0271057946338429,0.0130659447262108,0.044,0.15308151245243,1.0332616944201
"BA2922R",0.13818293552401,0,0.145856661635688,0.135526321659048,0,0.179950944952052,0.00726566408095211,0,0.00928432078723403,0,0.181645992714006,0,0.124563498739932,0,0,0,0,0,0,0.0302244991231434,0.0474991607839344,0,0.006,0.303232483325971,0.964662977942317
"BA2887R",0.00615274970414947,0.0370119530012812,0.0176757525247913,0.0401193543766924,0,0.142378753781922,0,0.0143196067093404,0,0,0.0176817244446806,0.00329873561806799,0.421155793904003,0.0125596316149193,0,0.0365446703260898,0.0422107418634454,0,0.0552834856869963,0,0.128242448537696,0.0253645979059254,0.003,0.37140181280513,0.935463588005949
"BA2068R",0.0736558797602634,0,0.073556682499834,0.102421499679431,0,0.165090994244088,0.0441632981757949,0,0,0,0.111350387626273,0,0.0124609993794053,0,0,0.0067220617564069,0,0.0014053200567453,0.0681779192182321,0,0.340994957603526,0,0.055,0.139384320112151,1.04188344706199
"BA2236R",0.0159645103505037,0,0.0222376626354498,0.0199311397628948,0,0.14126007452511,0.0125870487872896,0,0,0,0.06972940032921,0,0.242535614464233,0,0,0.00607002927460873,0,0,0.172292044200115,0,0.254665875339443,0.0427266003311425,0.029,0.183041219538781,1.02421685390139
"BA2449R",0.0925858901914669,0,0.0213314151203195,0,0,0.215267434810893,0.0165576610898012,0,0.0217538934387558,0,0.0631603708519889,0,0.26387560069502,0,0.00146854543748734,0,0,0.00305024928176016,0.217418775693716,0,0.0747955433117104,0.00873462007708095,0.384,0.0270275243036051,1.07758610799638
"BA2360R",0.0143562833959268,0.088499963840534,0.119665144380895,0.0321950032403288,0,0.118877441571588,0,0,0,0,0.157641308068258,0,0.31468376305736,0,0,0.0316949980855334,0,0,0.00575063686882859,0.0091035127668252,0.107531944723922,0,0.005,0.309702047892572,0.958419918516195
"BA2235R",0.0680192540290151,0,0.0290541553096396,0.043091036223816,0,0.14114165124683,0,0,0.0030812393661173,0,0.124707293144082,0,0.260726696809312,0.0105852170619946,0,0.0268865531646475,0,0,0.0300240200097772,0.0076857069371524,0.0919789938202245,0.163018182877392,0.00900000000000001,0.239357465426983,1.00559954178199
"BA2858R",0.0300246413057367,0,0.0213570914757594,0,0,0.0259621890676089,0.0184171339874771,0.00610578845296823,0,0.0115783302427549,0.0298953899247453,0,0.468730265285283,0.0839584068660834,0,0,0,0.0159442728394945,0.0109475062829443,0,0.155245854879918,0.121833129389226,0.062,0.133560800191865,1.0948830204425
"BA3038R",0.039856066339602,0,0.0167364863905412,0.000563764634291613,0,0.0492908351623084,0.00519450637912848,0,0,0,0.0575522753494543,0,0.550701645874136,0.00649917216517793,0,0.0118403883423749,0,0,0.104490884469584,0,0.0995521927555713,0.0577217821378299,0.042,0.155858636104303,1.07604372271878
"BA2667R",0,0.0559940533772519,0.0807843416766275,0.0534903316163375,0,0.0810145541803221,0.0197649080488245,0,0,0,0.156199303711312,0,0.431751337438012,0,0,0.00596561765582797,0,0,0.0125429850639919,0.0054062416763148,0.0231217937928364,0.0739645317623413,0,0.512323584456125,0.85804831607064
"BA2239R",0.0399237586047098,0,0.00934827367004513,0.0066694063658405,0,0.0212504076441962,0,0,0,0,0.0380133026016304,0,0.714995349325964,0,0,0.0357923507930925,0,0,0.0376743215546831,0,0.0852311533973457,0.0111016760424923,0,0.457739091753491,0.914040204040363
"BA2782R",0,0.00461239582887084,0,0.000518896646616255,0,0.0822554950460794,0,0.00394631172648854,0,0,0.0531785502864573,0,0.747144564484858,0,0,0,0,0.011548249472158,0.015651441241076,0,0.0247818892925787,0.0563622059748168,0,0.43452559983826,0.940026929124788
"BA2649R",0.0405131274080286,0,0.202529390132411,0.0548365831859651,0,0.0797018193673393,0,0.0072987431589579,0.0026652800711819,0.000532438816845263,0.0975330960848754,0,0.138453485029481,0,0,0.00374274421180194,0,0,0.290494776021285,0,0.0781626683848755,0.00353584812695178,0.062,0.132422694207108,1.03186641820983
"BA2488R",0.0574532574556783,0,0.0164581377982759,0.152996412314561,0,0.103342449608082,0.0129839716226428,0,0,0,0.0841836359980533,0,0.0790955611273589,0.0129567613420992,0.00781689504886707,0.0119934937553484,0,0,0.335121274969968,0,0.117617750393794,0.00798039856527173,0.014,0.210819970246063,1.01342890162647
"BA2861R",0.00846966892486357,0,0.0124975905293517,0.00640099228939998,0,0.115962308406905,0,0,0,0,0.0524650721239504,0,0.658746623951339,0.0188035878720824,0.000309170906904555,0.0106248109101789,0,0,0.034533920701994,0,0.0338543298346477,0.0473319235483827,0.003,0.372101872026058,0.965013352699357
"BA2909R",0.0553684856034123,0,0.0164925892278758,0.0295622392635273,0.00342043129096322,0.0188738066937906,0,0,0,0,0.125334193366587,0,0.145118001923181,0.0373129646041012,0,0.0169367000620138,0,0,0.112330906564229,0.0339272205787946,0.0774984328470551,0.327824027974469,0.03,0.177864559831011,1.07379573280024
"BA2106R",0.112576052768283,0,0.0840701576813498,0.0862826450640034,0,0.192423304220757,0,0,0,0,0.065473546789866,0,0.0351435975177516,0,0.00140230471715135,0.0234511888844007,0,0,0.23240295360603,0,0.166774248750407,0,0.013,0.219913595513789,0.996350083062443
