"sample","LSC17","IRG"
"BA2409R",-0.0579076051988161,-0.149760474760475
"BA3037R",-0.149067044138464,-0.333594308594309
"BA2496R",-0.0112984171921246,-0.0992099242099242
"BA2865R",-0.110822287993823,0.0394644644644644
"BA2286R",-0.157257753184918,-0.228886028886029
"BA2922R",-0.285934886115043,0.0318318318318318
"BA2887R",-0.243906833097413,-0.243189618189618
"BA2068R",0.0440741217346545,-0.265515515515516
"BA2236R",-0.139743919701454,-0.110860860860861
"BA2449R",-0.127152232659889,0.118636493636494
"BA2360R",-0.0707309226611762,-0.070924495924496
"BA2235R",-0.11161369193154,-0.0765801515801516
"BA2858R",-0.106015956762321,-0.248019448019448
"BA3038R",-0.0199652554368807,-0.453449878449878
"BA2667R",-0.209496847252606,-0.313063063063063
"BA2239R",0.145650495431733,-0.202523952523953
"BA2782R",0.0397632222365204,-0.113277563277563
"BA2649R",-0.10690387337537,0.0515873015873015
"BA2488R",-0.0256080298545875,-0.0344666094666095
"BA2861R",-0.131160725775319,-0.09495566995567
"BA2909R",-0.0358641101531334,-0.151855426855427
"BA2106R",-0.204896409728478,-0.0163556413556414
"BA2841R",-0.0761678033715095,-0.255934505934506
"BA2446R",-0.0260326856260456,0.032024882024882
"BA2357R",-0.0756015956762321,-0.153467753467753
"BA2546R",-0.148153390811993,-0.335682110682111
"BA2316R",-0.0198108351563505,0.0270699270699271
"BA2329R",-0.0462617423754986,-0.259684684684685
"BA2072R",-0.0774095997941063,-0.133469183469183
"BA2995R",-0.131469566336379,-0.285506935506936
"BA2069R",-0.107450778535581,0.0149792649792649
"BA2681R",-0.367681122120705,-0.365973115973116
"BA2413R",-0.28172049929224,-0.14519162019162
"BA2677R",-0.183065242568524,-0.141205491205491
"BA2937R",-0.204587569167417,-0.259452309452309
"BA2050R",-0.196454767726161,-0.0255469755469755
"BA2953R",-0.228426199974263,-0.245999570999571
"BA2481R",0.00254793462874792,-0.155240955240955
"BA2294R",-0.121901943121863,-0.0680609180609181
"BA2816R",-0.147587183116716,-0.314435864435864
"BA2631R",-0.168980826148501,-0.118039468039468
"BA2023R",0.179269077338824,-0.321907621907622
"BA2485R",-0.0730407926907734,0.0640855140855141
"BA2025R",-0.0311607257753185,0.0715179465179465
"BA2156R",-0.10864753570969,-0.110757185757186
"BA2655R",-0.147902457856132,-0.182310882310882
"BA2227R",-0.112411530047613,-0.0915451165451165
"BA2125R",-0.238238321966285,-0.323012298012298
"BA2523R",-0.126592459142967,0.0884884884884884
"BA2603R",0.00952258396602756,-0.0729050479050479
"BA2594R",-0.260056620769528,-0.00765050765050762
"BA2561R",0.173542658602497,-0.342463892463892
"BA2474R",-0.193038219019431,-0.0311561561561562
"BA2110R",-0.00260584223394672,-0.209198484198484
"BA2992R",0.00412430832582678,-0.0625160875160875
"BA2220R",-0.313106421309999,-0.21961246961247
"BA2676R",-0.056054561832454,-0.0877663377663377
"BA2811R",-0.157978381160726,0.0612648362648363
"BA2540R",-0.0231823446145927,0.0885456885456886
"BA2792R",-0.10949041307425,-0.275332475332475
"BA2651R",-0.311427100759233,0.0808558558558559
"BA3013R",-0.189866169090207,-0.0117009867009867
"BA2377R",0.226907733882383,-0.182325182325182
"BA2901R",0.130015442028053,-0.0566387816387817
"BA2275R",-0.134525801055205,-0.0364936364936365
"BA2387R",-0.299819843006048,-0.0444658944658944
"BA2962R",-0.325659503281431,-0.00919848419848418
"BA2420R",-0.142909535452323,-0.194187044187044
"BA2756R",-0.0343778149530305,-0.0493958243958244
"BA2122R",-0.0069424784455025,-0.181685256685257
"BA2080R",-0.12806588598636,-0.120613470613471
"BA2081R",-0.114760005147343,0.0562777062777062
"BA2354R",-0.144794749710462,-0.0268590018590019
"BA2893R",-0.279326984944023,0.0348312598312598
"BA2044R",-0.116233431990735,-0.0649470899470899
"BA2489R",-0.0743791017887016,-0.00558415558415554
"BA2309R",-0.208994981340883,-0.339485914485914
"BA2720R",-0.249922789859735,-0.356388531388531
"BA2908R",-0.271065499935658,-0.155584155584156
"BA2054R",0.0405353236391712,-0.0168454168454168
"BA2872R",-0.0191159438939648,-0.317395967395967
"BA2041R",-0.060243211941835,-0.368611468611469
"BA2464R",0.122641873632737,0.00688903188903189
"BA2902R",-0.0891519752927551,-0.296814671814672
"BA2541R",-0.351531334448591,-0.0604783354783355
"BA2143R",-0.202116844678935,-0.263259688259688
"BA2843R",-0.220756659374598,-0.201433576433576
"BA2592R",-0.210114528374727,-0.399224224224224
"BA2497R",0.176714708531721,0.00847633347633348
"BA2718R",-0.103365075279887,-0.0405190905190905
"BA2575R",-0.0709689872603269,-0.243039468039468
"BA2096R",-0.116471496589885,-0.371467896467896
"BA2791R",-0.010378329687299,-0.0140640640640641
"BA2620R",-0.227287350405353,-0.337469612469612
"BA2629R",-0.265242568524,-0.323598598598599
"BA2870R",0.0613048513704799,0.0871228371228371
"BA2276R",-0.0829365590014155,-0.0738845988845989
"BA2709R",-0.0402136147214001,-0.228971828971829
"BA2789R",-0.0723330330716767,0.00205562705562701
"BA2583R",-0.241693475743148,-0.00477620477620483
"BA2415R",0.0661369193154034,-0.0858858858858859
"BA2221R",0.0887980954832068,-0.213070213070213
"BA2514R",-0.0987517693990477,-0.0233519233519233
"BA2153R",-0.333663621155578,-0.0961854711854712
"BA2281R",-0.155153776862695,0.0784570284570285
"BA2932R",-0.269025865396989,-0.0675139425139425
"BA2123R",-0.0739287093038219,-0.182993707993708
"BA2844R",-0.109876463775576,-0.157128557128557
"BA2660R",-0.222088534294171,-0.13989703989704
"BA2952R",0.15462617423755,0.016055341055341
"BA2440R",-0.154002058937074,-0.147808522808523
"BA2292R",-0.0358898468665552,-0.287405262405262
"BA2410R",-0.305623471882641,-0.156956956956957
"BA2051R",0.0535194955604169,-0.0422601172601173
"BA2532R",0.0282717796937331,-0.124474474474474
"BA2986R",-0.243089692446275,-0.149610324610325
"BA2515R",-0.0881739801827306,-0.263774488774489
"BA2748R",-0.198603783296873,-0.0793221793221793
"BA2970R",-0.263730536610475,-0.308451308451308
"BA2622R",-0.14005919444087,-0.18033748033748
"BA2839R",-0.116323510487711,-0.0857321607321607
"BA2052R",-0.192761549350148,-0.25973115973116
"BA3011R",0.140631836314503,-0.29463391963392
"BA2065R",-0.223697078883027,-0.016970541970542
"BA2374R",0.00237421181315145,0.098087373087373
"BA2804R",-0.00272165744434438,0.00351780351780351
"BA2031R",0.108460944537383,-0.293968968968969
"BA2198R",-0.207315660790117,-0.345524095524096
"BA2066R",-0.0366683824475614,0.0144930644930645
"BA2459R",-0.155295328786514,-0.0707064207064207
"BA2559R",-0.133888817398018,-0.353035178035178
"BA2093R",-0.212610989576631,-0.328571428571429
"BA2304R",-0.0439390039891905,-0.110732160732161
"BA2976R",-0.17549221464419,-0.13974688974689
"BA2760R",-0.10008364431862,-0.403567853567854
"BA2201R",-0.126438038862437,-0.0820284570284571
"BA2355R",-0.0949363016342813,-0.119086944086944
"BA2113R",-0.175936172950714,-0.200943800943801
"BA2155R",-0.1369514862952,-0.182232232232232
"BA2955R",-0.0637241024321194,-0.157089232089232
"BA2322R",-0.218453223523356,-0.223316173316173
"BA2376R",0.156389139106936,-0.129318604318604
"BA2020R",-0.0408570325569425,-0.145531245531246
"BA2226R",-0.0198623085831939,-0.00614900614900615
"BA2200R",-0.33011838888174,-0.0131774631774632
"BA2121R",-0.0239801827306653,0.0382739882739882
"BA2867R",-0.159194440869901,-0.0985020735020735
"BA2224R",-0.165229700167289,-0.0770913770913771
"BA2046R",-0.167410886629777,-0.0707314457314457
"BA2972R",-0.142549221464419,-0.0787573287573288
"BA2851R",-0.220531463132158,-0.0945516945516945
"BA2587R",-0.181527473941578,-0.19006149006149
"BA2461R",0.0495174366233432,-0.159791934791935
"BA2024R",0.0347445631192896,-0.0384956384956385
"BA2426R",-0.157714579848153,-0.0512691262691263
"BA3004R",-0.161131128554884,0.00127985127985131
"BA2662R",0.0130356453480891,-0.0877127127127127
"BA2674R",-0.28148243469309,-0.0136279136279136
"BA2981R",-0.0634731694762579,-0.171650221650222
"BA2539R",0.129474971046197,-0.0712641212641212
"BA2618R",-0.0887273195212971,-0.215926640926641
"BA2846R",-0.0281430961266246,-0.0238559988559989
"BA2885R",0.127917899884185,-0.0509044759044759
"BA2399R",-0.31410371895509,-0.0171421421421421
"BA2174R",-0.226830523742118,-0.405959530959531
"BA3001R",-0.168176553854073,0.00651365651365654
"BA3040R",-0.156543559387466,-0.24040469040469
"BA2724R",0.0548835413717669,-0.11492563992564
"BA2256R",-0.323619868742761,-0.0313742313742314
"BA2821R",-0.238431347316948,0.0174138424138425
"BA2233R",-0.0776798352850341,0.025039325039325
"BA2880R",0.00469051602110404,-0.231266981266981
"BA2301R",0.141088662977738,-0.207124982124982
"BA2866R",-0.27185046969502,-0.0959066209066209
"BA2212R",-0.19233689357869,-0.169987844987845
"BA2685R",-0.201981726933471,-0.158565708565709
"BA2273R",-0.224231115686527,-0.207818532818533
"BA2477R",-0.0210397632222365,0.0477691977691979
"BA2659R",-0.198783940290825,-0.0223151723151723
"BA2124R",0.135182087247459,0.0137673387673387
"BA2369R",-0.139390039891906,-0.289886314886315
"BA2534R",-0.266233431990735,-0.157879307879308
"BA2400R",-0.0352850341011453,-0.0664414414414414
"BA2813R",-0.196345386694119,-0.0920599170599171
"BA2211R",-0.115808776219277,0.0465250965250965
"BA2171R",-0.12155449749067,0.0628557128557128
"BA2746R",0.0191545489640973,-0.00818318318318323
"BA2798R",-0.309934371380775,-0.134187759187759
"BA2288R",-0.100495431733368,-0.0912090662090662
"BA3030R",-0.300302406382705,-0.132961532961533
"BA2588R",-0.0478960236777763,-0.192231517231517
"BA2296R",-0.147040277956505,-0.068068068068068
"BA2300R",-0.259245914296744,-0.0578113828113828
"BA2545R",-0.0173787157380003,-0.071950521950522
"BA2840R",-0.187414747136791,-0.383204633204633
"BA2528R",-0.108621798996268,-0.0624159874159874
"BA2646R",0.135285034101145,0.0717538967538967
"BA2926R",-0.16427100759233,-0.00647075647075646
"BA2883R",-0.163280144125595,-0.128053053053053
"BA2234R",0.0776540985716124,0.00653153153153152
"BA2228R",-0.096570582936559,-0.215000715000715
"BA2037R",-0.25015442028053,-0.16518304018304
"BA2184R",-0.193424269720757,-0.048973973973974
"BA3009R",-0.247304079269077,-0.196603746603747
"BA2663R",0.0519688585767598,-0.167546117546118
"BA2764R",-0.00216831810577789,-0.255927355927356
"BA2989R",-0.179610088791661,-0.0279279279279279
"BA2855R",-0.013338051730794,-0.326540826540827
"BA2261R",-0.215519238193283,-0.0807200057200057
"BA2728R",-0.130613820615107,-0.10047905047905
"BA2715R",-0.208364431862051,-0.0337694837694837
"BA2469R",0.0911851756530692,0.0563635063635064
"BA2269R",0.00335864110153128,-0.378524953524954
"BA2098R",0.121914811478574,-0.02002717002717
"BA2778R",0.1929417063441,0.00184470184470187
"BA2163R",-0.358699009136533,-0.106277706277706
"BA2379R",-0.00251576373697082,-0.438702988702989
"BA2820R",-0.0239801827306653,-0.0792578292578293
"BA2704R",-0.167359413202934,0.0325754325754326
"BA2088R",-0.0125981212199202,-0.0457493207493208
"BA2361R",-0.0427679835285034,-0.059019734019734
"BA2492R",-0.0894350791403938,-0.0802445302445303
"BA2472R",0.0673401106678677,-0.0854032604032604
"BA2082R",0.0183888817398018,-0.261053911053911
"BA2879R",-0.0380131257238451,-0.149320749320749
"BA2577R",-0.19218247329816,-0.0572822822822823
"BA2563R",-0.19415133187492,0.0423030173030173
"BA2414R",-0.291114399691159,-0.0602674102674103
"BA2999R",-0.362939132672758,0.0514014014014014
"BA2644R",-0.224700810706473,-0.44011154011154
"BA2217R",-0.187131643289152,-0.0546153296153297
"BA2135R",-0.275273452580105,-0.0383597883597884
