HSC-like,Progenitor-like,GMP-like,Promono-like,Monocyte-like,cDC-like,HSC/Prog,GMP,Myeloid,Myeloid-like
NPTX2,CDK6,PRTN3,DEFB1,FCN1,MRC1,SPINK2,CPA3,VCAN,LYZ
H1F0,HSP90AB1,MPO,RNASE2,S100A12,HLA-DRB5,ZFAS1,PRSS57,S100A9,S100A9
EMP1,SPINK2,CALR,MS4A3,MAFB,CST3,NRIP1,ELANE,S100A8,S100A8
MEIS1,EEF1B2,CLEC5A,SERPINB10,VCAN,SAMHD1,GAS5,SUCNR1,MNDA,VCAN
CALCRL,PCNP,ELANE,SESN3,S100A9,NAPSB,JUN,CALR,FCN1,MNDA
TPSD1,TAPT1-AS1,POU4F1,ZFR,PLBD1,FCER1A,MEIS1,PRTN3,LYZ,CSTA
TPT1,HINT1,TRH,MRPL33,SERPINA1,HLA-DRB1,HLF,AZU1,THBS1,SRGN
CRHBP,LRRC75A-AS1,BZRAP1,CTSG,BCL2A1,AMICA1,EGR1,CST7,CSTA,FCN1
CLNK,DSE,CEBPE,SLC44A1,THBS1,PKIB,CRHBP,NUCB2,SAMSN1,FTL
TSC22D1,PEBP1,LINC01835,SLPI,PSAP,HLA-DRA,NPR3,CTSG,FGL2,MS4A6A
DST,LOC107984974,NUCB2,FUT4,S100A8,HLA-DRB6,FAM30A,EREG,TYROBP,PSAP
NRIP1,H2AFY,CSF3R,SRGN,FPR1,CPVL,MMRN1,IGFBP2,IFI30,IFI30
ABCB1,EEF1A1,RUNX1T1,CD70,C5AR1,HLA-DPB1,MSI2,TRH,PLBD1,ANXA2
GABRA4,SMIM24,CD38,PRLR,CD14,HLA-DQA1,ANGPT1,FAM46A,S100A12,FGL2
ZBTB20,PSME1,LPPR3,PLD3,NAMPT,HLA-DPA1,EIF4A2,SERPINB1,ANXA2,S100A10
ABCA9,SOX4,IGFBP2,LPL,VNN2,CLEC4A,TPT1,C1QTNF4,S100A10,LGALS3
TPSB2,LINC01623,PRRT4,RETN,CTSS,TMSB10,COMMD6,VAT1,PSAP,CTSS
KMT2A,EEF1G,SNHG5,TP53INP2,DUSP1,CAP1,EEF1A1,CEACAM6,FCER1G,ANXA1
KIAA0125,EBPL,FABP5,HSPA5,CEBPB,HLA-DQB1,SNORD13,CAT,SAMHD1,ANXA5
MEF2C,EIF4B,LOC100419170,RNASE3,CR1,CRIP1,FAU,TSPOAP1,LGALS1,AIF1
TMEM74,PARP1,CLEC11A,CCL23,NFKBIA,CLEC10A,FOS,SNHG25,COTL1,NCF2
PDZRN4,MEST,SERPINB1,EMB,SLC11A1,GPX1,PHLDB2,MPO,CTSH,LYST
ST3GAL1,TMEM70,AZU1,ATP8B4,LILRB3,ITGB7,MSRB3,CLEC11A,CTSS,FCER1G
XIRP2,TFDP2,FBN2,CLU,BCL6,HLA-DQB2,GUCY1A3,SLC2A5,S100A6,CD68
RBPMS,ATP5G2,HNRNPDL,FAM107B,CYP1B1,DBI,C6orf48,PRRT4,ITGB2,TNFSF13B
TMEM25,NAP1L1,HSPB1,KBTBD11,TNFAIP2,FTH1P3,GBP4,ERLIN1,FPR1,VIM
C20orf203,MSI2,RNA5-8S,CSTA,MS4A10,ACTB,PCDH9,PCOLCE2,MEGF9,IRS2
GNG11,TPM4,THSD7A,ANKRD28,AQP9,HLA-DQA2,SNHG6,NCOA4,CD14,GRN
SLC6A13,SPN,C12orf57,PIWIL4,TLR4,S100B,GNB2L1,CD38,MS4A6A,TNFAIP2
HOPX,SELL,FGFR1,RNVU1-6,APOBEC3A,ALDH2,ADGRG6,SPARC,FTL,MCL1
