Feature,Importance,Rank,Seed,Cohort
eln_clean_Favorable,4.3688217798868815e-6,1,123,Training
IL10,2.211133639017741e-6,2,123,Training
age_dx,1.3281901677449545e-6,3,123,Training
npm1_TRUE.,7.160504659016927e-7,4,123,Training
EGF,6.494919459025065e-7,5,123,Training
CXCR2,6.181001663208007e-7,6,123,Training
CXCL9,5.227327346801758e-7,7,123,Training
IL33,4.0829181671142576e-7,8,123,Training
wbc,3.9100646972656253e-7,9,123,Training
blasts_bm,3.564357757568359e-7,10,123,Training
IL15,3.4610430399576823e-7,11,123,Training
CST3,2.9087066650390624e-7,12,123,Training
CXCL2,2.5192896525065104e-7,13,123,Training
BSG,2.4278958638509114e-7,14,123,Training
CXCL12,1.9808610280354817e-7,15,123,Training
T cells CD4 memory activated,1.9689400990804036e-7,16,123,Training
CXCL5,1.819928487141927e-7,17,123,Training
SASP,1.6788641611735027e-7,18,123,Training
ELANE,1.6768773396809897e-7,19,123,Training
HSC.Prog,1.5517075856526694e-7,20,123,Training
IFNB1,1.3569990793863933e-7,21,123,Training
Plasma cells,1.347064971923828e-7,22,123,Training
T cells CD4 memory resting,1.341104507446289e-7,23,123,Training
HSC.like,1.3192494710286459e-7,24,123,Training
IL1A,1.0073184967041015e-7,25,123,Training
npm1_FALSE.,9.795029958089193e-8,26,123,Training
Myeloid,8.682409922281902e-8,27,123,Training
creatinine,8.285045623779298e-8,28,123,Training
GMP.like,7.808208465576172e-8,29,123,Training
Myeloid.like,7.649262746175131e-8,30,123,Training
NK cells resting,7.58965810139974e-8,31,123,Training
CXCR1,7.549921671549479e-8,32,123,Training
Progenitor.like,7.430712381998697e-8,33,123,Training
B cells naive,7.291634877522787e-8,34,123,Training
IL11,7.232030232747396e-8,35,123,Training
Stroma,6.953875223795573e-8,36,123,Training
MMP1,6.814797719319661e-8,37,123,Training
MMP2,6.397565205891928e-8,38,123,Training
IL18,5.841255187988281e-8,39,123,Training
cDC.like,5.7617823282877605e-8,40,123,Training
blasts_pb,5.443890889485677e-8,41,123,Training
Exhausted.T.cells,5.404154459635417e-8,42,123,Training
CCL5,5.304813385009766e-8,43,123,Training
GMP,5.1259994506835943e-8,44,123,Training
VEGFA,4.7286351521809896e-8,45,123,Training
MHC2,4.3511390686035155e-8,46,123,Training
Monocytes,4.3312708536783855e-8,47,123,Training
HBEGF,4.1524569193522135e-8,48,123,Training
IFNG,4.033247629801432e-8,49,123,Training
hemoglobin,3.9140383402506514e-8,50,123,Training
Mast cells resting,3.695487976074219e-8,51,123,Training
FGF2,3.695487976074219e-8,52,123,Training
B cells memory,3.5564104715983074e-8,53,123,Training
SERPINE1,3.3179918924967447e-8,54,123,Training
Apoptosis,3.218650817871094e-8,55,123,Training
CSTB,2.8610229492187502e-8,56,123,Training
CCL2,2.8212865193684896e-8,57,123,Training
T cells CD8,2.7020772298177085e-8,58,123,Training
Cytolytic_score,2.4636586507161458e-8,59,123,Training
LTR.ERVK,2.4636586507161458e-8,60,123,Training
lymph_pct,2.3245811462402345e-8,61,123,Training
CXCL11,2.3245811462402345e-8,62,123,Training
IL1RN,2.205371856689453e-8,63,123,Training
TGFA,2.0464261372884114e-8,64,123,Training
CXCL10,2.0265579223632814e-8,65,123,Training
Monocyte.like,1.986821492513021e-8,66,123,Training
HGF,1.9669532775878907e-8,67,123,Training
albumin,1.92721684773763e-8,68,123,Training
hematocrit,1.708666483561198e-8,69,123,Training
Eosinophils,1.629193623860677e-8,70,123,Training
T cells follicular helper,1.609325408935547e-8,71,123,Training
CCL3,1.529852549235026e-8,72,123,Training
ldh,1.509984334309896e-8,73,123,Training
Neutrophils,1.3907750447591146e-8,74,123,Training
IL4,1.3907750447591146e-8,75,123,Training
Macrophages M2,1.3709068298339844e-8,76,123,Training
LINE.L1,1.331170399983724e-8,77,123,Training
CCL4,1.3113021850585938e-8,78,123,Training
Cellular_senescence,1.2914339701334636e-8,79,123,Training
platelet,1.251697540283203e-8,80,123,Training
Promono.like,1.2119611104329427e-8,81,123,Training
IL1B,1.1920928955078126e-8,82,123,Training
IL12A,1.1920928955078126e-8,83,123,Training
TEK,1.1722246805826824e-8,84,123,Training
LTR.ERVL,1.1722246805826822e-8,85,123,Training
Macrophages M1,1.152356465657552e-8,86,123,Training
MMP9,1.152356465657552e-8,87,123,Training
IL6,1.0927518208821615e-8,88,123,Training
sex_Female,1.0728836059570312e-8,89,123,Training
LINE.CR1,9.735425313313802e-9,90,123,Training
Macrophages M0,9.338061014811198e-9,91,123,Training
IL13,9.338061014811198e-9,92,123,Training
LINE.L2,8.742014567057292e-9,93,123,Training
LTR.ERV1,8.742014567057292e-9,94,123,Training
RMSE,8.54333241780599e-9,95,123,Training
eln_clean_Unknown,8.145968119303385e-9,96,123,Training
LTR.ERVL.MaLR,7.947285970052083e-9,97,123,Training
CXCL1,7.54992167154948e-9,98,123,Training
Proliferation,7.1525573730468756e-9,99,123,Training
T.cell.senescence,6.953875223795573e-9,100,123,Training
Mast cells activated,6.755193074544271e-9,101,123,Training
ARG1,6.1591466267903645e-9,102,123,Training
mono_pct,5.76178232828776e-9,103,123,Training
Cytotoxicity,5.563100179036459e-9,104,123,Training
TGFB1,5.563100179036459e-9,105,123,Training
CFD,5.165735880533854e-9,106,123,Training
eln_clean_Adverse,3.3775965372721352e-9,107,123,Training
SINE.Alu,2.7815500895182293e-9,108,123,Training
sex_Male,1.3907750447591146e-9,109,123,Training
flt3_itd_ar,7.947285970052083e-10,110,123,Training
SINE.MIR,3.9736429850260414e-10,111,123,Training
T cells CD4 naive,0,112,123,Training
T cells regulatory (Tregs),0,113,123,Training
T cells gamma delta,0,114,123,Training
NK cells activated,0,115,123,Training
Dendritic cells resting,0,116,123,Training
Dendritic cells activated,0,117,123,Training
CX3CL1,0,118,123,Training
IL2,0,119,123,Training
IL5,0,120,123,Training
FGF1,0,121,123,Training
MMP3,0,122,123,Training
CSF2,0,123,123,Training
IL25,0,124,123,Training
IFNA1,0,125,123,Training
sex_new,0,126,123,Training
sex_unknown,0,127,123,Training
prior_mds_FALSE.,0,128,123,Training
prior_mds_TRUE.,0,129,123,Training
prior_mds_new,0,130,123,Training
prior_mds_unknown,0,131,123,Training
prior_mpn_FALSE.,0,132,123,Training
prior_mpn_TRUE.,0,133,123,Training
prior_mpn_new,0,134,123,Training
prior_mpn_unknown,0,135,123,Training
secondary_aml_FALSE.,0,136,123,Training
secondary_aml_TRUE.,0,137,123,Training
secondary_aml_new,0,138,123,Training
secondary_aml_unknown,0,139,123,Training
flt3_itd_FALSE.,0,140,123,Training
flt3_itd_TRUE.,0,141,123,Training
flt3_itd_new,0,142,123,Training
flt3_itd_unknown,0,143,123,Training
npm1_new,0,144,123,Training
npm1_unknown,0,145,123,Training
runx1_FALSE.,0,146,123,Training
runx1_TRUE.,0,147,123,Training
runx1_new,0,148,123,Training
runx1_unknown,0,149,123,Training
asxl1_FALSE.,0,150,123,Training
asxl1_TRUE.,0,151,123,Training
asxl1_new,0,152,123,Training
asxl1_unknown,0,153,123,Training
tp53_FALSE.,0,154,123,Training
tp53_TRUE.,0,155,123,Training
tp53_new,0,156,123,Training
tp53_unknown,0,157,123,Training
DNMT3A_FALSE.,0,158,123,Training
DNMT3A_TRUE.,0,159,123,Training
DNMT3A_new,0,160,123,Training
DNMT3A_unknown,0,161,123,Training
IDH1_FALSE.,0,162,123,Training
IDH1_TRUE.,0,163,123,Training
IDH1_new,0,164,123,Training
IDH1_unknown,0,165,123,Training
IDH2_FALSE.,0,166,123,Training
IDH2_TRUE.,0,167,123,Training
IDH2_new,0,168,123,Training
IDH2_unknown,0,169,123,Training
KRAS_FALSE.,0,170,123,Training
KRAS_TRUE.,0,171,123,Training
KRAS_new,0,172,123,Training
KRAS_unknown,0,173,123,Training
NRAS_FALSE.,0,174,123,Training
NRAS_TRUE.,0,175,123,Training
NRAS_new,0,176,123,Training
NRAS_unknown,0,177,123,Training
PTPN11_FALSE.,0,178,123,Training
PTPN11_TRUE.,0,179,123,Training
PTPN11_new,0,180,123,Training
PTPN11_unknown,0,181,123,Training
spliceosome_FALSE.,0,182,123,Training
spliceosome_TRUE.,0,183,123,Training
spliceosome_new,0,184,123,Training
spliceosome_unknown,0,185,123,Training
cohesin_FALSE.,0,186,123,Training
cohesin_TRUE.,0,187,123,Training
cohesin_new,0,188,123,Training
cohesin_unknown,0,189,123,Training
ras_pathway_FALSE.,0,190,123,Training
ras_pathway_TRUE.,0,191,123,Training
ras_pathway_new,0,192,123,Training
ras_pathway_unknown,0,193,123,Training
cyto_t_8_21_FALSE.,0,194,123,Training
cyto_t_8_21_TRUE.,0,195,123,Training
cyto_t_8_21_new,0,196,123,Training
cyto_t_8_21_unknown,0,197,123,Training
cyto_inv16_FALSE.,0,198,123,Training
cyto_inv16_TRUE.,0,199,123,Training
cyto_inv16_new,0,200,123,Training
cyto_inv16_unknown,0,201,123,Training
cyto_cbf_FALSE.,0,202,123,Training
cyto_cbf_TRUE.,0,203,123,Training
cyto_cbf_new,0,204,123,Training
cyto_cbf_unknown,0,205,123,Training
cyto_t_15_17_FALSE.,0,206,123,Training
cyto_t_15_17_TRUE.,0,207,123,Training
cyto_t_15_17_new,0,208,123,Training
cyto_t_15_17_unknown,0,209,123,Training
cyto_inv3_FALSE.,0,210,123,Training
cyto_inv3_TRUE.,0,211,123,Training
cyto_inv3_new,0,212,123,Training
cyto_inv3_unknown,0,213,123,Training
cyto_t_6_9_FALSE.,0,214,123,Training
cyto_t_6_9_TRUE.,0,215,123,Training
cyto_t_6_9_new,0,216,123,Training
cyto_t_6_9_unknown,0,217,123,Training
cyto_5_7_abn_FALSE.,0,218,123,Training
cyto_5_7_abn_TRUE.,0,219,123,Training
cyto_5_7_abn_new,0,220,123,Training
cyto_5_7_abn_unknown,0,221,123,Training
cyto_plus8_FALSE.,0,222,123,Training
cyto_plus8_TRUE.,0,223,123,Training
cyto_plus8_new,0,224,123,Training
cyto_plus8_unknown,0,225,123,Training
cyto_normal_FALSE.,0,226,123,Training
cyto_normal_TRUE.,0,227,123,Training
cyto_normal_new,0,228,123,Training
cyto_normal_unknown,0,229,123,Training
eln_clean_Intermediate,0,230,123,Training
eln_clean_new,0,231,123,Training
eln_clean_unknown,0,232,123,Training
eln_clean_Favorable,4.002849260965983e-6,1,456,Training
IL10,2.257823944091797e-6,2,456,Training
age_dx,1.554091771443685e-6,3,456,Training
EGF,8.006890614827474e-7,4,456,Training
npm1_TRUE.,7.56382942199707e-7,5,456,Training
CXCR2,6.566445032755534e-7,6,456,Training
CXCL9,5.201498667399088e-7,7,456,Training
IL33,4.311402638753255e-7,8,456,Training
wbc,4.267692565917969e-7,9,456,Training
blasts_bm,3.4848848978678385e-7,10,456,Training
IL15,3.165006637573242e-7,11,456,Training
BSG,2.9385089874267576e-7,12,456,Training
CST3,2.5490919748942056e-7,13,456,Training
CXCL2,2.5371710459391277e-7,14,456,Training
CXCL12,2.0245711008707684e-7,15,456,Training
T cells CD4 memory activated,2.014636993408203e-7,16,456,Training
CXCL5,1.8457571665445964e-7,17,456,Training
SASP,1.718600591023763e-7,18,456,Training
ELANE,1.619259516398112e-7,19,456,Training
HSC.Prog,1.4603137969970704e-7,20,456,Training
IFNB1,1.323223114013672e-7,21,456,Training
T cells CD4 memory resting,1.2656052907307944e-7,22,456,Training
HSC.like,1.255671183268229e-7,23,456,Training
Plasma cells,1.2179215749104818e-7,24,456,Training
IL1A,1.0768572489420573e-7,25,456,Training
npm1_FALSE.,9.834766387939454e-8,26,456,Training
GMP.like,8.801619211832682e-8,27,456,Training
creatinine,8.662541707356771e-8,28,456,Training
Myeloid,8.622805277506511e-8,29,456,Training
Progenitor.like,8.404254913330079e-8,30,456,Training
B cells naive,7.58965810139974e-8,31,456,Training
CXCR1,7.450580596923828e-8,32,456,Training
Stroma,7.311503092447916e-8,33,456,Training
IL11,7.212162017822265e-8,34,456,Training
NK cells resting,7.172425587972005e-8,35,456,Training
CCL5,7.033348083496095e-8,36,456,Training
IL18,6.596247355143229e-8,37,456,Training
Myeloid.like,6.337960561116537e-8,38,456,Training
MMP1,6.258487701416016e-8,39,456,Training
Exhausted.T.cells,6.198883056640625e-8,40,456,Training
MMP2,5.7816505432128905e-8,41,456,Training
cDC.like,5.602836608886719e-8,42,456,Training
HBEGF,5.5432319641113284e-8,43,456,Training
blasts_pb,5.463759104410808e-8,44,456,Training
VEGFA,4.947185516357422e-8,45,456,Training
IFNG,4.9074490865071616e-8,46,456,Training
GMP,4.7485033671061196e-8,47,456,Training
B cells memory,4.589557647705078e-8,48,456,Training
FGF2,4.4902165730794275e-8,49,456,Training
MHC2,3.83456548055013e-8,50,456,Training
hemoglobin,3.457069396972656e-8,51,456,Training
Monocytes,3.2981236775716146e-8,52,456,Training
Mast cells resting,3.178914388020833e-8,53,456,Training
Apoptosis,2.9802322387695312e-08,54,456,Training
SERPINE1,2.84115473429362e-8,55,456,Training
CXCL11,2.7815500895182292e-8,56,456,Training
T cells CD8,2.6822090148925782e-8,57,456,Training
CSTB,2.662340799967448e-8,58,456,Training
lymph_pct,2.5828679402669272e-8,59,456,Training
CCL2,2.5232632954915365e-8,60,456,Training
Cytolytic_score,2.3643175760904948e-8,61,456,Training
albumin,2.3245811462402345e-8,62,456,Training
IL1RN,2.205371856689453e-8,63,456,Training
LTR.ERVK,2.185503641764323e-8,64,456,Training
hematocrit,2.1656354268391928e-8,65,456,Training
HGF,1.9073486328125e-8,66,456,Training
CXCL10,1.8874804178873697e-8,67,456,Training
CCL3,1.8477439880371094e-8,68,456,Training
TGFA,1.7285346984863283e-8,69,456,Training
Monocyte.like,1.629193623860677e-8,70,456,Training
IL12A,1.609325408935547e-8,71,456,Training
LTR.ERV1,1.3907750447591146e-8,72,456,Training
Neutrophils,1.3113021850585938e-8,73,456,Training
TEK,1.2914339701334636e-8,74,456,Training
Eosinophils,1.2516975402832032e-8,75,456,Training
Promono.like,1.251697540283203e-8,76,456,Training
ldh,1.2318293253580729e-8,77,456,Training
T cells follicular helper,1.2318293253580729e-8,78,456,Training
IL4,1.2318293253580729e-8,79,456,Training
LINE.L2,1.1920928955078126e-8,80,456,Training
LTR.ERVL,1.1920928955078126e-8,81,456,Training
LINE.L1,1.1920928955078124e-8,82,456,Training
MMP9,1.1722246805826822e-8,83,456,Training
CCL4,1.1722246805826822e-8,84,456,Training
Macrophages M1,1.1324882507324219e-8,85,456,Training
Cellular_senescence,1.1126200358072917e-8,86,456,Training
sex_Female,1.0927518208821615e-8,87,456,Training
Macrophages M2,1.0728836059570314e-8,88,456,Training
IL6,1.053015391031901e-8,89,456,Training
IL1B,1.0331471761067709e-8,90,456,Training
eln_clean_Unknown,9.934107462565104e-9,91,456,Training
Proliferation,9.338061014811198e-9,92,456,Training
IL13,9.338061014811198e-9,93,456,Training
platelet,8.940696716308593e-9,94,456,Training
RMSE,8.145968119303385e-9,95,456,Training
Mast cells activated,7.748603820800782e-9,96,456,Training
T.cell.senescence,7.54992167154948e-9,97,456,Training
Macrophages M0,7.54992167154948e-9,98,456,Training
mono_pct,7.1525573730468756e-9,99,456,Training
CXCL1,7.152557373046875e-9,100,456,Training
TGFB1,6.953875223795573e-9,101,456,Training
LINE.CR1,6.357828776041666e-9,102,456,Training
LTR.ERVL.MaLR,6.1591466267903645e-9,103,456,Training
ARG1,5.960464477539063e-9,104,456,Training
CFD,5.761782328287761e-9,105,456,Training
Cytotoxicity,5.165735880533854e-9,106,456,Training
SINE.Alu,3.3775965372721352e-9,107,456,Training
eln_clean_Adverse,2.9802322387695314e-9,108,456,Training
