Feature,Total_appearances,Appears_in_training,Appears_in_test,Mean_rank
eln_clean_Favorable,10,TRUE,TRUE,1
age_dx,10,TRUE,TRUE,2.6
IL10,10,TRUE,TRUE,3
EGF,10,TRUE,TRUE,3.7
npm1_TRUE.,10,TRUE,TRUE,4.8
CXCR2,10,TRUE,TRUE,6.6
CXCL9,10,TRUE,TRUE,8
IL33,10,TRUE,TRUE,9.3
IL15,10,TRUE,TRUE,9.7
wbc,10,TRUE,TRUE,10.5
BSG,10,TRUE,TRUE,11.8
CST3,10,TRUE,TRUE,12.9
T cells CD4 memory activated,10,TRUE,TRUE,15.3
HSC.Prog,10,TRUE,TRUE,16.6
CXCL12,10,TRUE,TRUE,17.1
CXCL2,6,TRUE,TRUE,14.5
SASP,6,TRUE,TRUE,18.5
HSC.like,5,FALSE,TRUE,5.8
blasts_bm,5,TRUE,FALSE,9.4
CXCL5,5,TRUE,FALSE,17
ELANE,5,TRUE,FALSE,17.4
Plasma cells,5,FALSE,TRUE,17.4
T cells CD4 memory resting,5,FALSE,TRUE,17.4
creatinine,4,FALSE,TRUE,18.75
B cells memory,4,FALSE,TRUE,19
