Cohort,Feature,Times_in_top20,Mean_rank,Mean_importance
Test,eln_clean_Favorable,5,1,4.385153452555339e-6
Test,age_dx,5,2.2,1.5267372131347656e-6
Test,EGF,5,2.8,1.3628323872884115e-6
Test,IL10,5,4,1.0190010070800781e-6
Test,npm1_TRUE.,5,5.2,5.796432495117188e-7
Test,HSC.like,5,5.8,5.514144897460938e-7
Test,CXCR2,5,7.2,4.941940307617187e-7
Test,IL15,5,7.8,4.73181406656901e-7
Test,CXCL9,5,9,4.3506622314453124e-7
Test,IL33,5,10.2,3.5419464111328126e-7
Test,BSG,5,11,3.2866795857747397e-7
Test,wbc,5,11.8,3.089586893717448e-7
Test,HSC.Prog,5,13.6,2.280871073404948e-7
Test,CST3,5,13.8,2.2570292154947916e-7
Test,T cells CD4 memory activated,5,14.6,2.0856857299804688e-7
Test,Plasma cells,5,17.4,1.4206568400065104e-7
Test,T cells CD4 memory resting,5,17.4,1.3786951700846355e-7
Test,CXCL12,5,18,1.3497670491536457e-7
Test,creatinine,4,18.75,1.262823740641276e-7
Test,B cells memory,4,19,1.2866655985514322e-7
Test,SASP,1,17,1.4193852742513022e-7
Test,CXCL2,1,18,1.3065338134765623e-7
Training,eln_clean_Favorable,5,1,4.217902819315593e-6
Training,IL10,5,2,2.2165775299072267e-6
Training,age_dx,5,3,1.3312896092732748e-6
Training,npm1_TRUE.,5,4.4,7.470051447550456e-7
Training,EGF,5,4.6,7.114013036092123e-7
Training,CXCR2,5,6,6.031195322672526e-7
Training,CXCL9,5,7,5.096197128295899e-7
Training,IL33,5,8.4,4.1866302490234375e-7
Training,wbc,5,9.2,3.9680798848470055e-7
Training,blasts_bm,5,9.4,3.786087036132812e-7
Training,IL15,5,11.6,3.0461947123209637e-7
Training,CST3,5,12,2.754529317220052e-7
Training,BSG,5,12.6,2.6837984720865884e-7
Training,CXCL2,5,13.8,2.527634302775065e-7
Training,T cells CD4 memory activated,5,16,2.0694732666015625e-7
Training,CXCL12,5,16.2,1.895427703857422e-7
Training,CXCL5,5,17,1.8366177876790364e-7
Training,ELANE,5,17.4,1.7873446146647136e-7
Training,SASP,5,18.8,1.6498565673828124e-7
Training,HSC.Prog,5,19.6,1.552899678548177e-7
